rentabilidad óptima,riesgo asociado,composicion de portafolio
0.13720000000000002,0.19050262465383513,"[0.01, 0.05, 0.005, 0.935]"
0.13740000000000002,0.19019519578580316,"[0.0, 0.065, 0.0, 0.935]"
0.13720000000000002,0.18988838827058382,"[0.0, 0.065, 0.005, 0.93]"
0.13700000000000004,0.18958220512484816,"[0.0, 0.065, 0.01, 0.925]"
0.137,0.18927664937862781,"[0.01, 0.06, 0.0, 0.93]"
0.13680000000000003,0.188971724075323,"[0.01, 0.06, 0.005, 0.925]"
0.13690000000000002,0.18866743227170926,"[0.005, 0.07, 0.0, 0.925]"
0.13670000000000002,0.1883637770379433,"[0.005, 0.07, 0.005, 0.92]"
0.13680000000000003,0.18806076145756723,"[0.0, 0.08, 0.0, 0.92]"
0.13660000000000003,0.18775838862751248,"[0.0, 0.08, 0.005, 0.915]"
0.13640000000000002,0.18745666165810168,"[0.0, 0.08, 0.01, 0.91]"
0.1365,0.18715558367304996,"[0.005, 0.08, 0.0, 0.915]"
0.1363,0.18685515780946485,"[0.005, 0.08, 0.005, 0.91]"
0.13640000000000002,0.1865553872178448,"[0.0, 0.09, 0.0, 0.91]"
0.13620000000000002,0.1862562750620768,"[0.0, 0.09, 0.005, 0.905]"
0.13600000000000004,0.18595782451943238,"[0.0, 0.09, 0.01, 0.9]"
0.136,0.1856600387805626,"[0.01, 0.085, 0.0, 0.905]"
0.13580000000000003,0.18536292104949145,"[0.01, 0.085, 0.005, 0.9]"
0.13600000000000004,0.18506647454360825,"[0.0, 0.1, 0.0, 0.9]"
0.13580000000000003,0.18477070249365835,"[0.0, 0.1, 0.005, 0.895]"
0.13560000000000003,0.18447560814373265,"[0.0, 0.1, 0.01, 0.89]"
0.13560000000000003,0.18418119475125577,"[0.01, 0.095, 0.0, 0.895]"
0.13540000000000002,0.18388746558697253,"[0.01, 0.095, 0.005, 0.89]"
0.1355,0.18359442393493328,"[0.005, 0.105, 0.0, 0.89]"
0.13540000000000002,0.1833020730924776,"[0.0, 0.11, 0.005, 0.885]"
0.13540000000000002,0.18301041637021648,"[0.0, 0.115, 0.0, 0.885]"
0.13520000000000001,0.18271945709201307,"[0.01, 0.105, 0.0, 0.885]"
0.135,0.18242919859496176,"[0.01, 0.105, 0.005, 0.88]"
0.13510000000000003,0.18213964422936593,"[0.005, 0.115, 0.0, 0.88]"
0.13490000000000002,0.18185079735871382,"[0.005, 0.115, 0.005, 0.875]"
0.135,0.18156266135965293,"[0.0, 0.125, 0.0, 0.875]"
0.1348,0.18127523962196274,"[0.01, 0.115, 0.0, 0.875]"
0.1346,0.18098853554852584,"[0.01, 0.115, 0.005, 0.87]"
0.13470000000000001,0.18070255255529735,"[0.005, 0.125, 0.0, 0.87]"
0.1345,0.18041729407127247,"[0.005, 0.125, 0.005, 0.865]"
0.13460000000000003,0.1801327635384524,"[0.0, 0.135, 0.0, 0.865]"
0.13440000000000002,0.17984896441180864,"[0.01, 0.125, 0.0, 0.865]"
0.1342,0.17956590015924517,"[0.01, 0.125, 0.005, 0.86]"
0.1343,0.1792835742615592,"[0.005, 0.135, 0.0, 0.86]"
0.13410000000000002,0.17900199021239963,"[0.005, 0.135, 0.005, 0.855]"
0.1342,0.1787211515182241,"[0.0, 0.145, 0.0, 0.855]"
0.134,0.17844106169825377,"[0.01, 0.135, 0.0, 0.855]"
0.1338,0.17816172428442648,"[0.01, 0.135, 0.005, 0.85]"
0.13390000000000002,0.17788314282134776,"[0.005, 0.145, 0.0, 0.85]"
0.1338,0.1776053208662398,"[0.0, 0.15, 0.005, 0.845]"
0.1338,0.17732826198888885,"[0.0, 0.155, 0.0, 0.845]"
0.1336,0.17705196977158993,"[0.01, 0.145, 0.0, 0.845]"
0.13340000000000002,0.17677644780909024,"[0.01, 0.145, 0.005, 0.84]"
0.1336,0.17650169970852972,"[0.0, 0.16, 0.0, 0.84]"
0.13340000000000002,0.17622772908938025,"[0.0, 0.16, 0.005, 0.835]"
0.13320000000000004,0.17595453958338217,"[0.0, 0.16, 0.01, 0.8300000000000001]"
0.1333,0.17568213483447884,"[0.005, 0.16, 0.0, 0.835]"
0.13310000000000002,0.1754105184987491,"[0.005, 0.16, 0.005, 0.8300000000000001]"
0.13320000000000004,0.17513969424433742,"[0.0, 0.17, 0.0, 0.8300000000000001]"
0.133,0.1748696657513818,"[0.0, 0.17, 0.005, 0.8250000000000001]"
0.13280000000000003,0.17460043671193953,"[0.01, 0.16, 0.005, 0.8250000000000001]"
0.13290000000000002,0.17433201082991043,"[0.005, 0.17, 0.0, 0.8250000000000001]"
0.1327,0.17406439182095804,"[0.005, 0.17, 0.005, 0.8200000000000001]"
0.1328,0.17379758341242837,"[0.0, 0.18, 0.0, 0.8200000000000001]"
0.13260000000000002,0.1735315893432663,"[0.01, 0.17, 0.0, 0.8200000000000001]"
0.13240000000000002,0.17326641336392926,"[0.01, 0.17, 0.005, 0.8150000000000001]"
0.1325,0.17300205923629927,"[0.005, 0.18, 0.0, 0.8150000000000001]"
0.13240000000000002,0.17273853073359172,"[0.0, 0.185, 0.005, 0.81]"
0.1322,0.172475831640262,"[0.0, 0.185, 0.01, 0.805]"
0.13230000000000003,0.17221396575190995,"[0.005, 0.185, 0.0, 0.81]"
0.13210000000000002,0.17195293687518107,"[0.005, 0.185, 0.005, 0.805]"
0.13220000000000004,0.171692748827666,"[0.0, 0.195, 0.0, 0.805]"
0.132,0.17143340543779675,"[0.01, 0.185, 0.0, 0.805]"
0.13180000000000003,0.17117491054474077,"[0.01, 0.185, 0.005, 0.8]"
0.13190000000000002,0.1709172679982921,"[0.005, 0.195, 0.0, 0.8]"
0.1317,0.17066048165876013,"[0.015, 0.185, 0.0, 0.8]"
0.13180000000000003,0.1704045553968555,"[0.0, 0.20500000000000002, 0.0, 0.795]"
0.13160000000000002,0.17014949309357347,"[0.01, 0.195, 0.0, 0.795]"
0.13150000000000003,0.16989529864007422,"[0.005, 0.2, 0.005, 0.79]"
0.13160000000000002,0.16964197593756095,"[0.0, 0.21, 0.0, 0.79]"
0.13140000000000002,0.1693895288971547,"[0.01, 0.2, 0.0, 0.79]"
0.1312,0.1691379614397667,"[0.02, 0.19, 0.0, 0.79]"
0.13130000000000003,0.1688872774959677,"[0.005, 0.21, 0.0, 0.785]"
0.13110000000000002,0.16863748100585468,"[0.015, 0.2, 0.0, 0.785]"
0.131,0.16838857591891443,"[0.0, 0.215, 0.01, 0.775]"
0.13110000000000002,0.16814056619388434,"[0.005, 0.215, 0.0, 0.78]"
0.13090000000000002,0.16789345579861056,"[0.015, 0.20500000000000002, 0.0, 0.78]"
0.131,0.16764724870990277,"[0.0, 0.225, 0.0, 0.775]"
0.13080000000000003,0.16740194891338633,"[0.01, 0.215, 0.0, 0.775]"
0.13060000000000002,0.1671575604033512,"[0.02, 0.20500000000000002, 0.0, 0.775]"
0.1305,0.16691408718259823,"[0.005, 0.22, 0.01, 0.765]"
0.13060000000000002,0.16667153326228207,"[0.0, 0.23, 0.005, 0.765]"
0.13040000000000002,0.16642990266175126,"[0.02, 0.21, 0.0, 0.77]"
0.1305,0.16618919940838514,"[0.005, 0.23, 0.0, 0.765]"
0.13030000000000003,0.1659494275374278,"[0.015, 0.22, 0.0, 0.765]"
0.1302,0.16571059109181888,"[0.01, 0.225, 0.005, 0.76]"
0.13030000000000003,0.16547269412202123,"[0.005, 0.23500000000000001, 0.0, 0.76]"
0.13010000000000002,0.16523574068584557,"[0.015, 0.225, 0.0, 0.76]"
0.1302,0.1649997348482718,"[0.0, 0.245, 0.0, 0.755]"
0.13,0.16476468068126737,"[0.01, 0.23500000000000001, 0.0, 0.755]"
0.12990000000000002,0.1645305822636023,"[0.015, 0.23, 0.0, 0.755]"
0.13,0.1642974436806611,"[0.0, 0.25, 0.0, 0.75]"
0.1298,0.16406526902425145,"[0.01, 0.24, 0.0, 0.75]"
